번호,도형,항목,측정값,기준값,상한공차,하한공차,편차,판정
3,평면1,평면도,0.002,0.100,Total,|+,-,-
3,평면1,SMmf,4P,0.001,0.001,-0.001,0.002,-
5,원1(I),D,16.499,16.485,0.030,0.000,0.014,-|
5,원1(I),SMmf,4P,0.000,0.000,0.000,0.001,-
6,원2(I),D,16.482,16.485,0.030,0.000,-0.003,-0.003
6,원2(I),SMmf,4P,0.007,0.007,-0.009,0.016,-
7,원3(I),D,16.499,16.485,0.030,0.000,0.014,-|
7,원3(I),SMmf,4P,0.000,0.000,0.000,0.000,-
8,원통1(I),D,16.493,16.485,0.030,0.000,0.008,--|
8,원통1(I),원통도,0.029,0.000,-,-,-,-
8,원통1(I),직각도,0.010,0.050,평면1,|+,-,-
8,원통1(I),SMmf,12P,0.008,0.008,-0.021,0.029,-
14,점2,X,116.654,116.600,0.100,0.000,0.054,|+
14,점2,Y,-10.905,10.900,0.100,-0.100,0.005,|+
16,각도1,Ang,57.048,57.000,0.333,-0.333,0.048,|+
17,직선4,Y/X,27.240,27.000,0.500,-0.500,0.240,|++
18,직선5,Y/X,7.482,7.500,0.500,-0.500,-0.018,-|
19,점3,X,110.045,110.200,0.300,-0.300,-0.155,---|
20,직선6,Y/X,36.620,35.900,0.500,-0.500,0.720,0.220
21,점4,X,88.017,88.000,0.300,-0.300,0.017,|+
21,점4,Y,-24.273,-24.000,0.300,-0.300,0.273,|++++
22,직선7,Y/X,-23.264,-23.100,0.500,-0.500,0.164,|++
23,직선8,Y/X,-6.196,-6.000,0.500,-0.500,0.196,|++
24,점5,X,47.975,48.000,0.300,-0.300,-0.025,-|
24,점5,Y,-16.293,-16.100,0.300,-0.300,0.193,|+++
25,원4(E),X,0.027,0.000,0.200,-0.200,0.027,|+
25,원4(E),Y,0.101,0.000,0.200,-0.200,0.101,|+++
25,원4(E),D,25.721,26.100,0.000,-0.500,-0.379,---|
25,원4(E),동심도,0.209,0.000,PCS,-,-,-
25,원4(E),SMmf,5P,0.003,0.004,-0.005,0.009,-
29,점6,X,44.165,44.100,0.300,-0.300,0.065,|+
29,점6,Y,6.639,6.500,0.300,-0.300,0.139,|++
30,점7,X,54.116,54.000,0.300,-0.300,0.116,|++
30,점7,Y,5.207,5.100,0.300,-0.300,0.107,|++
33,점8,X,74.368,74.400,0.300,-0.300,-0.032,-|
34,직선14,Y/X,-23.133,-23.100,0.333,-0.333,0.033,|+
37,직선16,X/Y,14.560,14.500,0.500,-0.500,0.060,|+
39,직선18,X/Y,-14.583,-14.500,0.500,-0.500,0.083,|+
42,거리1,DS,10.352,10.300,0.070,-0.070,0.052,|+++
45,점13,X,72.904,72.870,0.100,0.000,0.034,--|
46,직선19,X/Y,-14.475,-14.500,0.500,-0.500,-0.025,-|
48,직선21,X/Y,14.434,14.500,0.500,-0.500,-0.066,-|
51,거리2,DS,10.319,10.300,0.070,-0.070,0.019,|++
54,점18,X,72.916,72.870,0.100,0.000,0.046,-|
55,점19,Y,-2.362,-2.300,0.100,-0.100,0.062,|+++
56,점20,Y,-2.296,-2.300,0.100,-0.100,-0.004,-|
58,원5(I),Y,1.905,2.000,0.100,-0.100,-0.095,----|
58,원5(I),D,3.523,3.500,0.100,-0.100,0.023,|+
58,원5(I),SMmf,4P,0.000,0.000,0.000,0.001,-
60,거리3,DS,46.523,46.500,0.300,-0.300,0.023,|+
61,평면2,Z,12.388,12.000,0.500,0.000,0.388,|+++
61,평면2,평면도,0.015,0.050,Total,|++,-,-
61,평면2,평행도,0.040,0.050,평면1,FIM,|++++,-
61,평면2,SMmf,7P,0.006,0.009,-0.006,0.015,-
68,평면3,Z,12.415,11.800,-0.050,-0.100,0.615,0.665
68,평면3,평면도,0.005,0.050,Total,|+,-,-
68,평면3,평행도,0.054,0.050,평면1,FIM,0.004,-
68,평면3,SMmf,6P,0.002,0.002,-0.003,0.005,-
69,원7(E),X,0.027,0.000,0.200,-0.200,0.027,|+
69,원7(E),Y,0.101,0.000,0.200,-0.200,0.101,|+++
69,원7(E),D,25.721,26.100,0.000,-0.500,-0.379,---|
69,원7(E),동심도,0.209,0.000,PCS,-,-,-
69,원7(E),SMmf,5P,0.003,0.004,-0.005,0.009,-
75,점28,X,116.642,116.600,0.100,0.000,0.042,-|
75,점28,Y,-10.904,-10.900,0.100,-0.100,0.004,|+
77,각도2,Ang,57.154,57.121,0.333,-0.333,0.033,|+
79,점29,X,72.921,72.870,0.100,-0.030,0.051,|+
79,점29,Y,-2.406,-2.300,0.100,-0.100,0.106,0.006
80,점30,X,72.933,72.870,0.100,-0.030,0.063,|++
80,점30,Y,-2.367,-2.300,0.100,-0.100,0.067,|+++
81,직선25,X/Y,-14.633,-14.500,0.500,-0.500,0.133,|++
82,직선26,X/Y,14.509,14.500,0.500,-0.500,0.009,|+
86,거리4,DS,10.352,10.300,0.100,-0.100,0.052,|+++
